mbs,tp,dp,pp,node placement,partition,estimated time (step/s),pipeline time,DP all-reduce time,embedding layer all-reduce time,price_per_step,is_oom,oom_gpumem,is_zero_oom,zerooom_gpumem
8,4,2,4.0,"['g5.24xlarge', 'g5.24xlarge', 'g5.24xlarge', 'g5.24xlarge', 'g5.24xlarge', 'g5.24xlarge', 'g5.24xlarge', 'g5.24xlarge']","[14, 12, 11, 13]",4.2724528312683105,3.967860676966606,0.2885100841522217,0.016082240268588066,0.053851894353230796,False,tensor([11.4229]),False,tensor([8.7420])
8,4,1,8.0,"['g5.24xlarge', 'g5.24xlarge', 'g5.24xlarge', 'g5.24xlarge', 'g5.24xlarge', 'g5.24xlarge', 'g5.24xlarge', 'g5.24xlarge']","[7, 6, 6, 6, 6, 6, 6, 7]",4.385003089904785,4.376962422869945,0.0,0.008041120134294033,0.05527052783542209,False,tensor([5.9980]),False,tensor([5.9980])
16,2,4,4.0,"['g5.24xlarge', 'g5.24xlarge', 'g5.24xlarge', 'g5.24xlarge', 'g5.24xlarge', 'g5.24xlarge', 'g5.24xlarge', 'g5.24xlarge']","[15, 11, 11, 13]",4.5102620124816895,4.091216624773286,0.35471615195274353,0.06432896107435226,0.056849346966213646,True,tensor([24.2742]),False,tensor([18.8394])
16,2,2,8.0,"['g5.24xlarge', 'g5.24xlarge', 'g5.24xlarge', 'g5.24xlarge', 'g5.24xlarge', 'g5.24xlarge', 'g5.24xlarge', 'g5.24xlarge']","[8, 6, 6, 6, 6, 6, 6, 6]",4.599084854125977,4.543046772579964,0.023873524740338326,0.03216448053717613,0.05796890953911675,False,tensor([12.2332]),False,tensor([10.5822])
16,2,1,16.0,"['g5.24xlarge', 'g5.24xlarge', 'g5.24xlarge', 'g5.24xlarge', 'g5.24xlarge', 'g5.24xlarge', 'g5.24xlarge', 'g5.24xlarge']","[4, 3, 3, 4, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3]",4.733456134796143,4.717373705521097,0.0,0.016082240268588066,0.059662584881252714,False,tensor([6.0131]),False,tensor([6.0131])
16,4,4,2.0,"['g5.24xlarge', 'g5.24xlarge', 'g5.24xlarge', 'g5.24xlarge', 'g5.24xlarge', 'g5.24xlarge', 'g5.24xlarge', 'g5.24xlarge']","[25, 25]",5.194971084594727,4.52715203354657,0.6356543898582458,0.03216448053717613,0.06547972442626954,True,tensor([27.4975]),False,tensor([19.3343])
16,1,4,8.0,"['g5.24xlarge', 'g5.24xlarge', 'g5.24xlarge', 'g5.24xlarge', 'g5.24xlarge', 'g5.24xlarge', 'g5.24xlarge', 'g5.24xlarge']","[8, 6, 6, 6, 6, 6, 6, 6]",5.757325172424316,5.600515576386643,0.02815207652747631,0.12865792214870453,0.07256788528442383,False,tensor([19.5134]),False,tensor([17.0370])
16,4,2,4.0,"['g5.24xlarge', 'g5.24xlarge', 'g5.24xlarge', 'g5.24xlarge', 'g5.24xlarge', 'g5.24xlarge', 'g5.24xlarge', 'g5.24xlarge']","[14, 12, 11, 13]",5.850493907928467,5.545901305159927,0.2885100841522217,0.016082240268588066,0.07374222543504502,False,tensor([14.8030]),False,tensor([12.1221])
16,1,2,16.0,"['g5.24xlarge', 'g5.24xlarge', 'g5.24xlarge', 'g5.24xlarge', 'g5.24xlarge', 'g5.24xlarge', 'g5.24xlarge', 'g5.24xlarge']","[4, 4, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3]",5.952661514282227,5.8664106681126595,0.021921727806329727,0.06432896107435226,0.07502999135335287,False,tensor([9.1332]),False,tensor([8.1689])
16,4,1,8.0,"['g5.24xlarge', 'g5.24xlarge', 'g5.24xlarge', 'g5.24xlarge', 'g5.24xlarge', 'g5.24xlarge', 'g5.24xlarge', 'g5.24xlarge']","[7, 6, 6, 6, 6, 6, 6, 7]",6.195672035217285,6.187631164966606,0.0,0.008041120134294033,0.0780930039638943,False,tensor([7.5580]),False,tensor([7.5580])
