mbs,tp,dp,pp,node placement,partition,estimated time (step/s),pipeline time,DP all-reduce time,embedding layer all-reduce time,price_per_step
1,1,2,16.0,"['g5.24xlarge', 'p4d.24xlarge', 'p4d.24xlarge', 'p4d.24xlarge', 'p4d.24xlarge', 'p4d.24xlarge', 'p4d.24xlarge', 'p4d.24xlarge']","[3, 3, 3, 3, 3, 3, 3, 4, 4, 3, 3, 3, 3, 3, 3, 3]",0.9006034731864929,0.8182563665613997,0.01801813393831253,0.06432896107435226,0.011351606444252862
1,1,1,32.0,"['p4d.24xlarge', 'g5.24xlarge', 'p4d.24xlarge', 'p4d.24xlarge', 'p4d.24xlarge', 'p4d.24xlarge', 'p4d.24xlarge', 'p4d.24xlarge']","[2, 2, 1, 2, 1, 1, 1, 1, 1, 2, 1, 2, 1, 2, 1, 2, 2, 2, 2, 2, 2, 1, 2, 1, 1, 1, 2, 2, 2, 1, 2, 2]",0.9016354084014893,0.8694709698787365,0.0,0.03216448053717613,0.018152074677930938
1,1,4,8.0,"['p4d.24xlarge', 'p4d.24xlarge', 'p4d.24xlarge', 'p4d.24xlarge', 'p4d.24xlarge', 'g5.24xlarge', 'p4d.24xlarge', 'p4d.24xlarge']","[7, 5, 6, 7, 8, 4, 6, 7]",0.9423239827156067,0.8123417265714109,0.0013242800487205386,0.12865792214870453,0.018971232879357203
1,1,4,8.0,"['p4d.24xlarge', 'g5.24xlarge', 'p4d.24xlarge', 'p4d.24xlarge', 'p4d.24xlarge', 'p4d.24xlarge', 'p4d.24xlarge', 'p4d.24xlarge']","[8, 4, 6, 7, 7, 5, 6, 7]",0.9424776434898376,0.8123417265714109,0.0014779840130358934,0.12865792214870453,0.01897432643782099
1,1,4,8.0,"['p4d.24xlarge', 'p4d.24xlarge', 'p4d.24xlarge', 'p4d.24xlarge', 'p4d.24xlarge', 'p4d.24xlarge', 'g5.24xlarge', 'p4d.24xlarge']","[7, 5, 6, 7, 8, 6, 4, 7]",0.9428369402885437,0.8128547265195251,0.0013242800487205386,0.12865792214870453,0.018981559940699073
1,1,4,8.0,"['p4d.24xlarge', 'p4d.24xlarge', 'g5.24xlarge', 'p4d.24xlarge', 'p4d.24xlarge', 'p4d.24xlarge', 'p4d.24xlarge', 'p4d.24xlarge']","[8, 6, 4, 7, 7, 5, 6, 7]",0.9429906010627747,0.8128547265195251,0.0014779840130358934,0.12865792214870453,0.018984653499162858
1,1,4,8.0,"['p4d.24xlarge', 'p4d.24xlarge', 'p4d.24xlarge', 'p4d.24xlarge', 'g5.24xlarge', 'p4d.24xlarge', 'p4d.24xlarge', 'p4d.24xlarge']","[7, 5, 6, 7, 6, 6, 6, 7]",0.9441359639167786,0.814153726506263,0.0013242800487205386,0.12865792214870453,0.01900771238955855
1,1,4,8.0,"['p4d.24xlarge', 'p4d.24xlarge', 'p4d.24xlarge', 'g5.24xlarge', 'p4d.24xlarge', 'p4d.24xlarge', 'p4d.24xlarge', 'p4d.24xlarge']","[8, 6, 6, 5, 7, 5, 6, 7]",0.9464676380157471,0.8163317262195945,0.0014779840130358934,0.12865792214870453,0.019054654559281136
1,1,4,8.0,"['p4d.24xlarge', 'p4d.24xlarge', 'p4d.24xlarge', 'p4d.24xlarge', 'p4d.24xlarge', 'p4d.24xlarge', 'p4d.24xlarge', 'g5.24xlarge']","[7, 5, 6, 7, 8, 6, 6, 5]",0.9597689509391785,0.8297867273912728,0.0013242800487205386,0.12865792214870453,0.01932244176378846
1,1,4,8.0,"['g5.24xlarge', 'p4d.24xlarge', 'p4d.24xlarge', 'p4d.24xlarge', 'p4d.24xlarge', 'p4d.24xlarge', 'p4d.24xlarge', 'p4d.24xlarge']","[6, 6, 6, 7, 7, 5, 6, 7]",0.965108335018158,0.8141537264746148,0.022296685725450516,0.12865792214870453,0.012164654391606649
